Region,Year,Month,Avg_Temperature
Eastern,2009,7,35.0
Eastern,2009,8,34.5
Eastern,2009,9,32.6
Eastern,2009,10,28.5
Eastern,2009,11,24.6
Eastern,2009,12,18.6
Eastern,2010,1,17.6
Eastern,2010,2,19.4
Eastern,2010,3,22.7
Eastern,2010,4,26.6
Eastern,2010,5,30.3
Eastern,2010,6,33.8
Eastern,2010,7,35.3
Eastern,2010,8,34.8
Eastern,2010,9,33.2
Eastern,2010,10,29.7
Eastern,2010,11,23.4
Eastern,2010,12,18.6
Eastern,2011,1,16.4
Eastern,2011,2,17.4
Eastern,2011,3,20.5
Eastern,2011,4,25.2
Eastern,2011,5,31.1
Eastern,2011,6,34.1
Eastern,2011,7,34.3
Eastern,2011,8,34.7
Eastern,2011,9,32.6
Eastern,2011,10,28.2
Eastern,2011,11,21.4
Eastern,2011,12,15.5
Eastern,2012,1,16.0
Eastern,2012,2,16.9
Eastern,2012,3,18.9
Eastern,2012,4,25.1
Eastern,2012,5,31.7
Eastern,2012,6,33.4
Eastern,2012,7,34.8
Eastern,2012,8,34.5
Eastern,2012,9,32.1
Eastern,2012,10,29.3
Eastern,2012,11,23.5
Eastern,2012,12,18.8
Eastern,2013,1,17.2
Eastern,2013,2,18.1
Eastern,2013,3,21.4
Eastern,2013,4,25.6
Eastern,2013,5,29.3
Eastern,2013,6,33.1
Eastern,2013,7,34.3
Eastern,2013,8,33.8
Eastern,2013,9,32.2
Eastern,2013,10,27.1
Eastern,2013,11,22.7
Eastern,2013,12,17.4
Eastern,2014,1,15.4
Eastern,2014,2,16.7
Eastern,2014,3,21.8
Eastern,2014,4,26.1
Eastern,2014,5,31.1
Eastern,2014,6,33.4
Eastern,2014,7,35.2
Eastern,2014,8,34.5
Eastern,2014,9,32.7
Eastern,2014,10,29.7
Eastern,2014,11,23.0
Eastern,2014,12,18.5
Eastern,2015,1,16.2
Eastern,2015,2,18.7
Eastern,2015,3,21.1
Eastern,2015,4,25.9
Eastern,2015,5,31.1
Eastern,2015,6,33.6
Eastern,2015,7,34.9
Eastern,2015,8,35.0
Eastern,2015,9,33.1
Eastern,2015,10,30.4
Eastern,2015,11,23.6
Eastern,2015,12,17.4
Eastern,2016,1,15.9
Eastern,2016,2,17.9
Eastern,2016,3,21.7
Eastern,2016,4,25.2
Eastern,2016,5,31.0
Eastern,2016,6,33.5
Eastern,2016,7,35.3
Eastern,2016,8,35.2
Eastern,2016,9,32.8
Eastern,2016,10,27.9
Eastern,2016,11,23.1
Eastern,2016,12,18.7
Eastern,2017,1,16.5
Eastern,2017,2,14.7
Eastern,2017,3,20.2
Eastern,2017,4,27.3
Eastern,2017,5,32.8
Eastern,2017,6,34.4
Eastern,2017,7,36.5
Eastern,2017,8,35.9
Eastern,2017,9,33.3
Eastern,2017,10,29.4
Eastern,2017,11,23.9
Eastern,2017,12,17.2
Eastern,2018,1,16.1
Eastern,2018,2,18.6
Eastern,2018,3,23.4
Eastern,2018,4,26.4
Eastern,2018,5,30.9
Eastern,2018,6,35.7
Eastern,2018,7,36.3
Eastern,2018,8,35.4
Eastern,2018,9,33.5
Eastern,2018,10,29.2
Eastern,2018,11,22.8
Eastern,2018,12,18.8
Eastern,2019,1,18.1
Eastern,2019,2,17.4
Eastern,2019,3,19.5
Eastern,2019,4,25.1
Eastern,2019,5,31.4
Eastern,2019,6,35.9
Eastern,2019,7,36.0
Eastern,2019,8,35.7
Eastern,2019,9,33.6
Eastern,2019,10,31.1
Eastern,2019,11,23.1
Eastern,2019,12,18.4
Eastern,2020,1,15.7
Eastern,2020,2,17.8
Eastern,2020,3,21.3
Eastern,2020,4,26.7
Eastern,2020,5,30.5
Eastern,2020,6,34.9
Eastern,2020,7,36.6
Eastern,2020,8,35.5
Eastern,2020,9,33.3
Eastern,2020,10,27.9
Eastern,2020,11,24.2
Eastern,2020,12,18.6
Eastern,2021,1,16.8
Eastern,2021,2,18.3
Eastern,2021,3,22.6
Eastern,2021,4,27.3
Eastern,2021,5,32.7
Eastern,2021,6,35.0
Eastern,2021,7,36.5
Eastern,2021,8,36.0
Eastern,2021,9,32.8
Eastern,2021,10,29.2
Eastern,2021,11,23.9
Eastern,2021,12,19.0
Eastern,2022,1,15.4
Eastern,2022,2,17.9
Eastern,2022,3,21.4
Eastern,2022,4,26.5
Eastern,2022,5,30.5
Eastern,2022,6,34.7
Eastern,2022,7,35.3
Eastern,2022,8,36.0
Eastern,2022,9,33.3
Eastern,2022,10,29.1
Eastern,2022,11,25.7
Eastern,2022,12,19.6
Eastern,2023,1,15.4
Eastern,2023,2,18.3
Eastern,2023,3,22.2
Eastern,2023,4,25.3
Eastern,2023,5,31.2
Eastern,2023,6,34.8
Eastern,2023,7,36.3
Eastern,2023,8,36.3
Eastern,2023,9,34.0
Eastern,2023,10,30.4
Eastern,2023,11,23.7
Eastern,2023,12,19.9
Eastern,2024,1,18.7
Eastern,2024,2,18.1
Eastern,2024,3,21.1
Eastern,2024,4,26.2
Eastern,2024,5,31.2
Eastern,2024,6,35.7
Eastern,2024,7,37.5
Eastern,2024,8,36.0
Eastern,2024,9,33.3
Eastern,2024,10,28.9
Eastern,2024,11,24.6
Eastern,2024,12,17.9
Eastern,2025,1,16.1
Eastern,2025,2,16.8
Eastern,2025,3,21.2
Eastern,2025,4,29.2
Eastern,2025,5,33.8
Eastern,2025,6,36.2
Eastern,2025,7,37.6
Eastern,2025,8,36.7
Eastern,2025,9,34.2
Eastern,2025,10,28.9
Eastern,2025,11,23.6
Eastern,2025,12,19.5
Eastern,2026,1,15.9
Southern,2000,1,14.2
Southern,2000,2,15.8
Southern,2000,3,17.2
Southern,2000,4,19.2
Southern,2000,5,20.5
Southern,2000,6,21.7
Southern,2000,7,21.3
Southern,2000,8,20.1
Southern,2000,9,18.9
Southern,2000,10,16.9
Southern,2000,11,15.0
Southern,2000,12,13.9
Southern,2001,1,12.5
Southern,2001,2,14.8
Southern,2001,3,16.9
Southern,2001,4,19.4
Southern,2001,5,21.1
Southern,2001,6,23.1
Southern,2001,7,21.8
Southern,2001,8,19.9
Southern,2001,9,19.2
Southern,2001,10,17.3
Southern,2001,11,15.0
Southern,2001,12,14.9
Southern,2002,1,13.2
Southern,2002,2,15.5
Southern,2002,3,17.3
Southern,2002,4,18.0
Southern,2002,5,21.8
Southern,2002,6,22.4
Southern,2002,7,21.7
Southern,2002,8,20.6
Southern,2002,9,19.5
Southern,2002,10,16.9
Southern,2002,11,15.5
Southern,2002,12,14.0
Southern,2003,1,13.8
Southern,2003,2,16.4
Southern,2003,3,17.5
Southern,2003,4,19.0
Southern,2003,5,21.1
Southern,2003,6,21.8
Southern,2003,7,22.0
Southern,2003,8,20.0
Southern,2003,9,19.4
Southern,2003,10,17.4
Southern,2003,11,16.1
Southern,2003,12,14.4
Southern,2004,1,14.4
Southern,2004,2,15.0
Southern,2004,3,17.1
Southern,2004,4,18.2
Southern,2004,5,21.9
Southern,2004,6,21.8
Southern,2004,7,20.9
Southern,2004,8,20.7
Southern,2004,9,19.3
Southern,2004,10,17.0
Southern,2004,11,15.9
Southern,2004,12,13.8
Southern,2005,1,13.2
Southern,2005,2,15.9
Southern,2005,3,17.2
Southern,2005,4,19.0
Southern,2005,5,20.1
Southern,2005,6,21.5
Southern,2005,7,21.5
Southern,2005,8,20.9
Southern,2005,9,19.6
Southern,2005,10,17.5
Southern,2005,11,15.4
Southern,2005,12,14.6
Southern,2006,1,14.6
Southern,2006,2,15.8
Southern,2006,3,16.5
Southern,2006,4,18.1
Southern,2006,5,19.8
Southern,2006,6,22.3
Southern,2006,7,22.2
Southern,2006,8,20.6
Southern,2006,9,19.4
Southern,2006,10,17.7
Southern,2006,11,15.5
Southern,2006,12,14.2
Southern,2007,1,13.6
Southern,2007,2,15.5
Southern,2007,3,17.8
Southern,2007,4,18.6
Southern,2007,5,21.0
Southern,2007,6,21.7
Southern,2007,7,20.7
Southern,2007,8,20.5
Southern,2007,9,19.7
Southern,2007,10,17.3
Southern,2007,11,15.6
Southern,2007,12,14.3
Southern,2008,1,14.0
Southern,2008,2,14.9
Southern,2008,3,17.8
Southern,2008,4,19.5
Southern,2008,5,20.3
Southern,2008,6,21.0
Southern,2008,7,22.6
Southern,2008,8,21.5
Southern,2008,9,19.8
Southern,2008,10,16.9
Southern,2008,11,14.9
Southern,2008,12,13.7
Southern,2009,1,13.3
Southern,2009,2,16.2
Southern,2009,3,17.3
Southern,2009,4,19.2
Southern,2009,5,21.1
Southern,2009,6,22.3
Southern,2009,7,22.0
Southern,2009,8,21.4
Southern,2009,9,20.0
Southern,2009,10,17.5
Southern,2009,11,16.1
Southern,2009,12,14.4
Southern,2010,1,14.3
Southern,2010,2,15.2
Southern,2010,3,17.7
Southern,2010,4,19.8
Southern,2010,5,20.9
Southern,2010,6,22.8
Southern,2010,7,21.3
Southern,2010,8,20.6
Southern,2010,9,19.4
Southern,2010,10,18.0
Southern,2010,11,15.3
Southern,2010,12,14.0
Southern,2011,1,13.7
Southern,2011,2,15.7
Southern,2011,3,16.5
Southern,2011,4,19.7
Southern,2011,5,20.0
Southern,2011,6,21.6
Southern,2011,7,22.7
Southern,2011,8,20.9
Southern,2011,9,20.0
Southern,2011,10,18.0
Southern,2011,11,15.6
Southern,2011,12,14.4
Southern,2012,1,14.4
Southern,2012,2,16.0
Southern,2012,3,17.3
Southern,2012,4,17.5
Southern,2012,5,20.9
Southern,2012,6,23.1
Southern,2012,7,22.9
Southern,2012,8,21.0
Southern,2012,9,20.6
Southern,2012,10,17.8
Southern,2012,11,15.9
Southern,2012,12,15.0
